Et…;Totale Maschi;Totale Femmine;Maschi + Femmine
0;212756;202218;414974
1;224617;212168;436785
2;235153;222161;457314
3;242107;229589;471696
4;248565;235204;483769
5;256796;242348;499144
6;260833;246458;507291
7;272305;257168;529473
8;276769;261133;537902
9;285537;268609;554146
10;289596;273168;562764
11;292556;276781;569337
12;292641;275384;568025
13;293544;275519;569063
14;292112;273759;565871
15;294506;277704;572210
16;292771;275235;568006
17;291807;273582;565389
18;298000;276707;574707
19;308381;282363;590744
20;308189;279269;587458
21;313182;279835;593017
22;309970;281029;590999
23;309688;283094;592782
24;307991;283641;591632
25;309378;289242;598620
26;313758;296568;610326
27;326635;310107;636742
28;324590;310423;635013
29;331083;316710;647793
30;328034;318718;646752
31;335493;326158;661651
32;327947;321148;649095
33;329109;323293;652402
34;338166;334375;672541
35;344557;340457;685014
36;350372;346606;696978
37;361476;359300;720776
38;363000;362693;725693
39;373576;370154;743730
40;383170;383701;766871
41;403881;403611;807492
42;415526;417680;833206
43;433364;436100;869464
44;453257;457174;910431
45;471358;475833;947191
46;467247;474137;941384
47;472445;477972;950417
48;474990;484718;959708
49;470760;480305;951065
50;482299;494026;976325
51;478051;490930;968981
52;478289;494239;972528
53;483736;497079;980815
54;481769;496286;978055
55;486783;503388;990171
56;453415;474410;927825
57;436116;459353;895469
58;425668;450711;876379
59;411026;436621;847647
60;399772;425767;825539
61;379385;407946;787331
62;374272;403219;777491
63;365197;394534;759731
64;356296;386962;743258
65;348378;381206;729584
66;331878;361610;693488
67;323404;356098;679502
68;320057;353899;673956
69;329023;365461;694484
70;328058;366082;694140
71;337758;381061;718819
72;326516;370061;696577
73;320411;368668;689079
74;242563;283182;525745
75;244277;289606;533883
76;239378;291246;530624
77;231750;286596;518346
78;225808;285508;511316
79;240020;309824;549844
80;227517;298567;526084
81;209720;284151;493871
82;183104;255966;439070
83;159380;233554;392934
84;151066;228511;379577
85;132945;211312;344257
86;115967;192830;308797
87;98570;174836;273406
88;85751;159752;245503
89;74576;150085;224661
90;56540;121480;178020
91;44385;103848;148233
92;34603;86770;121373
93;25393;69890;95283
94;18209;55242;73451
95;13171;42478;55649
96;9311;32136;41447
97;6123;23179;29302
98;4007;16553;20560
99;2529;10892;13421
100;2332;12472;14804
